PRUEBA	PRECIO	SUCURSAL	DOLARES	ACTIVO	DESCRIPCION	AXAPTA	AS400
00000001	325	HI	0	1	CULTIVO DE: HONGOS	1	1
00000002	160	HI	0	1	ACETONURIA	2	2
00000003	425	HI	0	1	ACIDO FOLICO	3	3
00000004	185	HI	0	1	ACIDO URICO	4	4
00000005	185	HI	0	1	ACIDO URICO EN ORINA 24 HRS	5	5
00000007	300	HI	0	1	AG. AUSTRALIANO	7	7
00000008	280	HI	0	1	AG. FEBRILES	8	8
00000013	400	HI	0	1	ALFA-FETO PROTEINA	13	13
00000014	600	HI	0	1	ALFA-1-ANTITRIPSINA	14	14
00000015	560	HI	0	1	AMEBA EN SUERO	15	15
00000016	195	HI	0	1	AMILASA	16	16
00000017	195	HI	0	1	AMILASA EN ORINA	17	17
00000018	350	HI	0	1	AMONIO	18	18
00000019	290	HI	0	1	ANA	19	19
00000020	295	HI	0	1	ANTI HIV	20	20
00000021	825	HI	0	1	ANTI-CARDIOLIPINAS	21	21
00000022	410	HI	0	1	ANTI-DNA	22	22
00000024	385	HI	0	1	ANTI-HAV-IGM	24	24
00000026	390	HI	0	1	ANTI-HBC-IGM	26	26
00000027	485	HI	0	1	ANTI-HBE	27	27
00000028	375	HI	0	1	ANTI-HBS	28	28
00000031	260	HI	0	1	BACILOSCOPIA EN FLUIDOS	31	31
00000034	260	HI	0	1	BACILOSCOPIA EN ORINA	34	34
00000035	520	HI	0	1	BACILOSCOPIA EN ORINA X 2	35	35
00000036	780	HI	0	1	BACILOSCOPIA EN ORINA X 3	36	36
00000037	1040	HI	0	1	BACILOSCOPIA EN ORINA X 4	37	37
00000038	1560	HI	0	1	BACILOSCOPIA EN ORINA X 6	38	38
00000046	520	HI	0	1	BACILOSCOPIA ESP X 2	46	46
00000047	780	HI	0	1	BACILOSCOPIA ESP X 3	47	47
00000048	1300	HI	0	1	BACILOSCOPIA ESP X 5	48	48
00000054	1300	HI	0	1	BACILOSCOPIA ORINA X 5	54	54
00000056	360	HI	0	1	BENZODIAZEPINAS	56	56
00000058	215	HI	0	1	BILIRRUBINA	58	58
00000060	200	HI	0	1	C-HDL	60	60
00000062	520	HI	0	1	CA 15-3	62	62
00000063	200	HI	0	1	CALCIO	63	63
00000064	200	HI	0	1	CALCIO EN ORINA DE 24 HRS.	64	64
00000068	400	HI	0	1	CEA	68	68
00000069	205	HI	0	1	CELULAS L.E.	69	69
00000070	175	HI	0	1	CELULAS LCR	70	70
00000071	260	HI	0	1	CK-MB	71	71
00000072	200	HI	0	1	CK-TOTAL	72	72
00000074	550	HI	0	1	CLAMIDIA IGG	74	74
00000076	195	HI	0	1	CLORO	76	76
00000077	300	HI	0	1	COCAINA	77	77
00000078	190	HI	0	1	COLESTEROL	78	78
00000079	400	HI	0	1	COLINESTERASA ERITROCITICA	79	79
00000080	400	HI	0	1	COLINESTERASA PLASMATICA	80	80
00000081	175	HI	0	1	COLORACION DE GRAM	81	81
00000082	175	HI	0	1	COLORACION DE ZIEHL NEELSEN	82	82
00000084	175	HI	0	1	CONTEO DE ESPERMATOZOIDES	84	84
00000085	175	HI	0	1	CONTEO DE HEMATIES EN HECES	85	85
00000086	350	HI	0	1	CONTEO DE HEMATIES EN HECES X 2	86	86
00000087	525	HI	0	1	CONTEO DE HEMATIES EN HECES X 3	87	87
